    qid  docid          docno  rank      score                            query
60    1  49813  AP880825-0119    60  13.684768  Coping with overcrowded prisons
61    1  14095  AP880407-0251    61  13.568303  Coping with overcrowded prisons
62    1  30499  AP880608-0110    62  13.544778  Coping with overcrowded prisons
63    1  13338  AP880405-0072    63  13.529707  Coping with overcrowded prisons
64    1  35185  AP880626-0032    64  13.512747  Coping with overcrowded prisons
65    1  36944  AP880702-0081    65  13.498636  Coping with overcrowded prisons
66    1  61012  AP881012-0138    66  13.488905  Coping with overcrowded prisons
67    1  70842  AP881122-0004    67  13.458889  Coping with overcrowded prisons
68    1  71256  AP881123-0150    68  13.345730  Coping with overcrowded prisons
69    1  35252  AP880627-0003    69  13.323747  Coping with overcrowded prisons
70    1  24272  AP880516-0220    70  13.239464  Coping with overcrowded prisons
71    1  17270  AP880420-0140    71  13.203373  Coping with overcrowded prisons
72    1  50430  AP880827-0151    72  13.177411  Coping with overcrowded prisons
73    1  32417  AP880615-0274    73  13.173072  Coping with overcrowded prisons
74    1   6660  AP880310-0198    74  13.123188  Coping with overcrowded prisons
75    1   3832  AP880228-0064    75  13.072933  Coping with overcrowded prisons
76    1  24180  AP880516-0128    76  13.052488  Coping with overcrowded prisons
77    1  70897  AP881122-0059    77  12.924948  Coping with overcrowded prisons
78    1  20166  AP880430-0162    78  12.879758  Coping with overcrowded prisons
79    1   1370  AP880218-0105    79  12.869824  Coping with overcrowded prisons
80    1  24303  AP880516-0251    80  12.861166  Coping with overcrowded prisons
81    1  45140  AP880807-0038    81  12.755187  Coping with overcrowded prisons
82    1  20673  AP880503-0096    82  12.720085  Coping with overcrowded prisons
83    1  11624  AP880329-0149    83  12.613414  Coping with overcrowded prisons
84    1  79289  AP881228-0194    84  12.536249  Coping with overcrowded prisons
85    1  37003  AP880702-0140    85  12.360239  Coping with overcrowded prisons
86    1  56093  AP880921-0098    86  12.345301  Coping with overcrowded prisons
87    1  47785  AP880817-0119    87  12.286361  Coping with overcrowded prisons
88    1    841  AP880216-0112    88  12.191970  Coping with overcrowded prisons
89    1  64349  AP881025-0162    89  12.136750  Coping with overcrowded prisons
90    1  43962  AP880801-0094    90  12.115394  Coping with overcrowded prisons
91    1  20897  AP880504-0037    91  12.081346  Coping with overcrowded prisons
92    1   5860  AP880308-0125    92  12.041893  Coping with overcrowded prisons
93    1  26708  AP880525-0081    93  11.923823  Coping with overcrowded prisons
94    1    924  AP880216-0195    94  11.911809  Coping with overcrowded prisons
95    1  45042  AP880806-0038    95  11.835153  Coping with overcrowded prisons
96    1  77774  AP881221-0094    96  11.791514  Coping with overcrowded prisons
97    1  45228  AP880808-0039    97  11.771773  Coping with overcrowded prisons
98    1  62993  AP881019-0286    98  11.593894  Coping with overcrowded prisons
99    1  47244  AP880815-0252    99  11.590892  Coping with overcrowded prisons
100   1    643  AP880215-0167   100  11.553910  Coping with overcrowded prisons
101   1  44394  AP880802-0245   101  11.537121  Coping with overcrowded prisons
102   1  46724  AP880813-0070   102  11.516962  Coping with overcrowded prisons
103   1  68674  AP881111-0104   103  11.477406  Coping with overcrowded prisons
104   1   9055  AP880319-0030   104  11.453901  Coping with overcrowded prisons
105   1  76815  AP881216-0222   105  11.398137  Coping with overcrowded prisons
106   1  31148  AP880610-0134   106  11.360682  Coping with overcrowded prisons
107   1  44583  AP880803-0139   107  11.353122  Coping with overcrowded prisons
108   1  62103  AP881016-0057   108  11.353122  Coping with overcrowded prisons
109   1  67128  AP881104-0269   109  11.341200  Coping with overcrowded prisons
110   1  22473  AP880510-0017   110  11.276601  Coping with overcrowded prisons
111   1  52585  AP880906-0204   111  11.269815  Coping with overcrowded prisons
112   1  31587  AP880612-0044   112  11.256545  Coping with overcrowded prisons
113   1  62156  AP881017-0041   113  11.256545  Coping with overcrowded prisons
114   1  48884  AP880822-0046   114  11.224717  Coping with overcrowded prisons
115   1  40997  AP880720-0033   115  11.211293  Coping with overcrowded prisons
116   1  54330  AP880914-0017   116  11.175127  Coping with overcrowded prisons
117   1  78637  AP881225-0001   117  11.161597  Coping with overcrowded prisons
118   1  56948  AP880926-0199   118  11.068237  Coping with overcrowded prisons
119   1  49159  AP880823-0032   119  10.911911  Coping with overcrowded prisons
120   1  53380  AP880909-0179   120  10.859143  Coping with overcrowded prisons
121   1  21043  AP880504-0183   121  10.799547  Coping with overcrowded prisons
122   1  12868  AP880402-0131   122  10.740031  Coping with overcrowded prisons
123   1    791  AP880216-0062   123  10.738882  Coping with overcrowded prisons
124   1  21474  AP880505-0259   124  10.567363  Coping with overcrowded prisons
125   1  35232  AP880626-0079   125  10.555556  Coping with overcrowded prisons
126   1  39519  AP880713-0236   126  10.555556  Coping with overcrowded prisons
127   1  54612  AP880915-0028   127  10.540763  Coping with overcrowded prisons
128   1  14923  AP880411-0204   128  10.511401  Coping with overcrowded prisons
129   1  30883  AP880609-0180   129  10.506230  Coping with overcrowded prisons
130   1  36038  AP880629-0171   130  10.440922  Coping with overcrowded prisons
131   1  24808  AP880518-0116   131  10.423252  Coping with overcrowded prisons
132   1  35503  AP880627-0254   132  10.364022  Coping with overcrowded prisons
133   1  33910  AP880621-0300   133  10.347017  Coping with overcrowded prisons
134   1  33149  AP880618-0061   134  10.346495  Coping with overcrowded prisons
135   1  49594  AP880824-0207   135  10.320118  Coping with overcrowded prisons
136   1   7828  AP880315-0079   136  10.240254  Coping with overcrowded prisons
137   1   1397  AP880218-0132   137  10.240148  Coping with overcrowded prisons
138   1  35509  AP880627-0260   138  10.240148  Coping with overcrowded prisons
139   1  44587  AP880803-0143   139  10.240148  Coping with overcrowded prisons
140   1  42002  AP880723-0094   140  10.236255  Coping with overcrowded prisons
141   1  41216  AP880720-0252   141  10.176636  Coping with overcrowded prisons
142   1  20300  AP880502-0030   142  10.149168  Coping with overcrowded prisons
143   1  78636  AP881224-0136   143  10.149168  Coping with overcrowded prisons
144   1  75298  AP881211-0014   144  10.138560  Coping with overcrowded prisons
145   1   8869  AP880318-0184   145  10.137653  Coping with overcrowded prisons
146   1  47071  AP880815-0079   146  10.127152  Coping with overcrowded prisons
147   1  58703  AP881003-0204   147  10.119200  Coping with overcrowded prisons
148   1  53444  AP880909-0243   148  10.106564  Coping with overcrowded prisons
149   1  10104  AP880323-0164   149  10.001076  Coping with overcrowded prisons
150   1  75822  AP881213-0144   150   9.997238  Coping with overcrowded prisons
151   1  37907  AP880706-0307   151   9.982743  Coping with overcrowded prisons
152   1  45561  AP880809-0107   152   9.982743  Coping with overcrowded prisons
153   1  59682  AP881006-0232   153   9.971975  Coping with overcrowded prisons
154   1  45306  AP880808-0117   154   9.959703  Coping with overcrowded prisons
155   1  12242  AP880331-0161   155   9.943042  Coping with overcrowded prisons
156   1  62868  AP881019-0161   156   9.914277  Coping with overcrowded prisons
157   1  18607  AP880425-0199   157   9.902147  Coping with overcrowded prisons
158   1  26036  AP880523-0013   158   9.813082  Coping with overcrowded prisons
159   1  11401  AP880328-0203   159   9.799804  Coping with overcrowded prisons
160   1  13848  AP880407-0004   160   9.799804  Coping with overcrowded prisons
161   1  20102  AP880430-0098   161   9.782956  Coping with overcrowded prisons
162   1  52511  AP880906-0130   162   9.772913  Coping with overcrowded prisons
163   1   4986  AP880303-0162   163   9.717489  Coping with overcrowded prisons
164   1  38479  AP880709-0013   164   9.717489  Coping with overcrowded prisons
165   1  42388  AP880725-0174   165   9.690325  Coping with overcrowded prisons
166   1  32798  AP880617-0027   166   9.637597  Coping with overcrowded prisons
167   1  58970  AP881004-0114   167   9.635523  Coping with overcrowded prisons
168   1  17817  AP880422-0017   168   9.624065  Coping with overcrowded prisons
169   1  49819  AP880825-0125   169   9.619878  Coping with overcrowded prisons
170   1  14413  AP880408-0250   170   9.528361  Coping with overcrowded prisons
171   1  76475  AP881215-0194   171   9.527527  Coping with overcrowded prisons
172   1  14843  AP880411-0124   172   9.517156  Coping with overcrowded prisons
173   1  10918  AP880326-0017   173   9.501942  Coping with overcrowded prisons
174   1  14288  AP880408-0125   174   9.501942  Coping with overcrowded prisons
175   1  70283  AP881119-0002   175   9.490800  Coping with overcrowded prisons
176   1  64801  AP881027-0051   176   9.482013  Coping with overcrowded prisons
177   1  53883  AP880912-0122   177   9.475669  Coping with overcrowded prisons
178   1  43187  AP880728-0104   178   9.468518  Coping with overcrowded prisons
179   1  12832  AP880402-0095   179   9.459418  Coping with overcrowded prisons
180   1  71500  AP881124-0090   180   9.449541  Coping with overcrowded prisons
181   1  58141  AP880930-0209   181   9.443520  Coping with overcrowded prisons
182   1  59454  AP881006-0004   182   9.443520  Coping with overcrowded prisons
183   1  27187  AP880526-0186   183   9.410847  Coping with overcrowded prisons
184   1  73263  AP881202-0068   184   9.392277  Coping with overcrowded prisons
185   1   1563  AP880219-0005   185   9.322975  Coping with overcrowded prisons
186   1  77635  AP881220-0222   186   9.321033  Coping with overcrowded prisons
187   1  42549  AP880726-0032   187   9.304224  Coping with overcrowded prisons
188   1  38310  AP880708-0161   188   9.295750  Coping with overcrowded prisons
189   1  28933  AP880602-0102   189   9.245593  Coping with overcrowded prisons
190   1  45520  AP880809-0066   190   9.222616  Coping with overcrowded prisons
191   1  41500  AP880721-0229   191   9.208752  Coping with overcrowded prisons
192   1  21960  AP880507-0087   192   9.195974  Coping with overcrowded prisons
193   1  61386  AP881013-0223   193   9.195974  Coping with overcrowded prisons
194   1  73766  AP881205-0068   194   9.195974  Coping with overcrowded prisons
195   1  60134  AP881008-0098   195   9.191858  Coping with overcrowded prisons
196   1  34648  AP880624-0044   196   9.183446  Coping with overcrowded prisons
197   1   8134  AP880316-0094   197   9.171363  Coping with overcrowded prisons
198   1  77319  AP881219-0208   198   9.162916  Coping with overcrowded prisons
199   1  41326  AP880721-0055   199   9.145110  Coping with overcrowded prisons
200   1  24143  AP880516-0091   200   9.112265  Coping with overcrowded prisons
201   1  46765  AP880813-0111   201   9.064063  Coping with overcrowded prisons
202   1   4275  AP880301-0077   202   9.050262  Coping with overcrowded prisons
203   1  78721  AP881226-0026   203   9.017395  Coping with overcrowded prisons
204   1  61930  AP881015-0065   204   8.988229  Coping with overcrowded prisons
205   1  11599  AP880329-0124   205   8.969173  Coping with overcrowded prisons
206   1  20748  AP880503-0171   206   8.947711  Coping with overcrowded prisons
207   1  19255  AP880427-0199   207   8.932316  Coping with overcrowded prisons
208   1  19390  AP880428-0001   208   8.909095  Coping with overcrowded prisons
209   1  42761  AP880726-0244   209   8.909095  Coping with overcrowded prisons
210   1  14787  AP880411-0068   210   8.899299  Coping with overcrowded prisons
211   1  60409  AP881010-0126   211   8.899299  Coping with overcrowded prisons
212   1  72945  AP881201-0035   212   8.864769  Coping with overcrowded prisons
213   1  71520  AP881124-0110   213   8.863013  Coping with overcrowded prisons
214   1  12563  AP880401-0169   214   8.840151  Coping with overcrowded prisons
215   1  43241  AP880728-0158   215   8.794777  Coping with overcrowded prisons
216   1  74114  AP881206-0122   216   8.794777  Coping with overcrowded prisons
217   1  41634  AP880722-0046   217   8.773985  Coping with overcrowded prisons
218   1  19079  AP880427-0023   218   8.772265  Coping with overcrowded prisons
219   1  13969  AP880407-0125   219   8.749868  Coping with overcrowded prisons
220   1  62414  AP881017-0299   220   8.705414  Coping with overcrowded prisons
221   1  45269  AP880808-0080   221   8.692993  Coping with overcrowded prisons
222   1  50749  AP880829-0231   222   8.683356  Coping with overcrowded prisons
223   1  78034  AP881222-0076   223   8.683356  Coping with overcrowded prisons
224   1   7578  AP880314-0163   224   8.673999  Coping with overcrowded prisons
225   1  61577  AP881014-0052   225   8.661410  Coping with overcrowded prisons
226   1  28336  AP880531-0173   226   8.655087  Coping with overcrowded prisons
227   1  39277  AP880712-0291   227   8.652150  Coping with overcrowded prisons
228   1  78657  AP881225-0021   228   8.639574  Coping with overcrowded prisons
229   1  71493  AP881124-0083   229   8.617848  Coping with overcrowded prisons
230   1  38754  AP880711-0016   230   8.597883  Coping with overcrowded prisons
231   1  59446  AP881005-0312   231   8.596232  Coping with overcrowded prisons
232   1  75518  AP881212-0153   232   8.553322  Coping with overcrowded prisons
233   1   7925  AP880315-0176   233   8.532027  Coping with overcrowded prisons
234   1  27598  AP880527-0260   234   8.532027  Coping with overcrowded prisons
235   1  37077  AP880703-0026   235   8.532027  Coping with overcrowded prisons
236   1  64619  AP881026-0146   236   8.524981  Coping with overcrowded prisons
237   1  35145  AP880625-0220   237   8.512456  Coping with overcrowded prisons
238   1  62111  AP881016-0065   238   8.489754  Coping with overcrowded prisons
239   1  32977  AP880617-0206   239   8.488524  Coping with overcrowded prisons
240   1  15509  AP880413-0202   240   8.470411  Coping with overcrowded prisons
241   1  15533  AP880413-0226   241   8.470411  Coping with overcrowded prisons
242   1  14129  AP880407-0285   242   8.468774  Coping with overcrowded prisons
243   1  13797  AP880406-0239   243   8.427124  Coping with overcrowded prisons
244   1  21164  AP880504-0304   244   8.385882  Coping with overcrowded prisons
245   1  27033  AP880526-0032   245   8.345758  Coping with overcrowded prisons
246   1  69138  AP881114-0123   246   8.310814  Coping with overcrowded prisons
247   1  38291  AP880708-0142   247   8.304596  Coping with overcrowded prisons
248   1  47907  AP880817-0241   248   8.304596  Coping with overcrowded prisons
249   1  41322  AP880721-0051   249   8.293452  Coping with overcrowded prisons
250   1   9405  AP880321-0072   250   8.284521  Coping with overcrowded prisons
251   1  60567  AP881010-0284   251   8.284521  Coping with overcrowded prisons
252   1   7717  AP880314-0302   252   8.244659  Coping with overcrowded prisons
253   1  12284  AP880331-0203   253   8.224872  Coping with overcrowded prisons
254   1  49231  AP880823-0104   254   8.224872  Coping with overcrowded prisons
255   1  36342  AP880630-0127   255   8.224721  Coping with overcrowded prisons
256   1  52107  AP880903-0153   256   8.205179  Coping with overcrowded prisons
257   1  46169  AP880811-0117   257   8.168369  Coping with overcrowded prisons
258   1  50748  AP880829-0230   258   8.166075  Coping with overcrowded prisons
259   1  41337  AP880721-0066   259   8.157120  Coping with overcrowded prisons
260   1  35442  AP880627-0193   260   8.148146  Coping with overcrowded prisons
261   1  17960  AP880422-0160   261   8.146663  Coping with overcrowded prisons
262   1  64639  AP881026-0166   262   8.146663  Coping with overcrowded prisons
263   1  41329  AP880721-0058   263   8.140393  Coping with overcrowded prisons
264   1  48995  AP880822-0157   264   8.127343  Coping with overcrowded prisons
265   1  16481  AP880417-0054   265   8.108114  Coping with overcrowded prisons
266   1  21057  AP880504-0197   266   8.107144  Coping with overcrowded prisons
267   1  76693  AP881216-0100   267   8.107144  Coping with overcrowded prisons
268   1  62265  AP881017-0150   268   8.090622  Coping with overcrowded prisons
269   1  65151  AP881028-0113   269   8.088976  Coping with overcrowded prisons
270   1  72287  AP881128-0242   270   8.088976  Coping with overcrowded prisons
271   1  30985  AP880609-0282   271   8.069928  Coping with overcrowded prisons
272   1  22987  AP880511-0198   272   8.057777  Coping with overcrowded prisons
273   1  53508  AP880910-0042   273   8.057777  Coping with overcrowded prisons
274   1  55565  AP880919-0155   274   8.041455  Coping with overcrowded prisons
275   1  53266  AP880909-0065   275   8.009008  Coping with overcrowded prisons
276   1  29870  AP880606-0081   276   7.994625  Coping with overcrowded prisons
277   1  60581  AP881011-0006   277   7.976018  Coping with overcrowded prisons
278   1  36959  AP880702-0096   278   7.960825  Coping with overcrowded prisons
279   1  18740  AP880425-0332   279   7.920714  Coping with overcrowded prisons
280   1  53713  AP880911-0045   280   7.904332  Coping with overcrowded prisons
281   1   7017  AP880311-0241   281   7.884269  Coping with overcrowded prisons
282   1  49039  AP880822-0201   282   7.867999  Coping with overcrowded prisons
283   1  14296  AP880408-0133   283   7.848157  Coping with overcrowded prisons
284   1   9967  AP880323-0027   284   7.794606  Coping with overcrowded prisons
285   1  27945  AP880529-0053   285   7.794606  Coping with overcrowded prisons
286   1  53176  AP880908-0276   286   7.794606  Coping with overcrowded prisons
287   1  76740  AP881216-0147   287   7.794606  Coping with overcrowded prisons
288   1  53832  AP880912-0071   288   7.706960  Coping with overcrowded prisons
289   1  53683  AP880911-0015   289   7.679731  Coping with overcrowded prisons
290   1  21650  AP880506-0076   290   7.672451  Coping with overcrowded prisons
291   1  31197  AP880610-0183   291   7.672451  Coping with overcrowded prisons
292   1  29791  AP880606-0002   292   7.669911  Coping with overcrowded prisons
293   1  63806  AP881023-0002   293   7.668263  Coping with overcrowded prisons
294   1  29862  AP880606-0073   294   7.660217  Coping with overcrowded prisons
295   1   6851  AP880311-0075   295   7.655312  Coping with overcrowded prisons
296   1  35973  AP880629-0106   296   7.655312  Coping with overcrowded prisons
297   1  39074  AP880712-0088   297   7.639122  Coping with overcrowded prisons
298   1  16541  AP880418-0017   298   7.634210  Coping with overcrowded prisons
299   1  13877  AP880407-0033   299   7.622854  Coping with overcrowded prisons
300   1  50224  AP880826-0258   300   7.614093  Coping with overcrowded prisons
301   1  78691  AP881225-0055   301   7.613644  Coping with overcrowded prisons
302   1  23333  AP880512-0192   302   7.610255  Coping with overcrowded prisons
303   1  74328  AP881207-0079   303   7.605551  Coping with overcrowded prisons
304   1  78720  AP881226-0025   304   7.604781  Coping with overcrowded prisons
305   1  58084  AP880930-0152   305   7.587516  Coping with overcrowded prisons
306   1  79499  AP881229-0167   306   7.584081  Coping with overcrowded prisons
307   1  74188  AP881206-0196   307   7.583306  Coping with overcrowded prisons
308   1  53715  AP880911-0047   308   7.580983  Coping with overcrowded prisons
309   1  30976  AP880609-0273   309   7.580770  Coping with overcrowded prisons
310   1   6606  AP880310-0144   310   7.574379  Coping with overcrowded prisons
311   1  31802  AP880613-0150   311   7.570754  Coping with overcrowded prisons
312   1  53326  AP880909-0125   312   7.570754  Coping with overcrowded prisons
313   1  33382  AP880620-0059   313   7.562854  Coping with overcrowded prisons
314   1  16437  AP880417-0010   314   7.555861  Coping with overcrowded prisons
315   1  33201  AP880618-0113   315   7.554066  Coping with overcrowded prisons
316   1  41183  AP880720-0219   316   7.550653  Coping with overcrowded prisons
317   1  40252  AP880716-0089   317   7.543177  Coping with overcrowded prisons
318   1  66457  AP881102-0233   318   7.538764  Coping with overcrowded prisons
319   1  49249  AP880823-0122   319   7.537451  Coping with overcrowded prisons
320   1  77441  AP881220-0028   320   7.536167  Coping with overcrowded prisons
321   1  64908  AP881027-0158   321   7.521369  Coping with overcrowded prisons
322   1  66117  AP881101-0136   322   7.515250  Coping with overcrowded prisons
323   1  74193  AP881206-0201   323   7.515250  Coping with overcrowded prisons
324   1  33131  AP880618-0043   324   7.515076  Coping with overcrowded prisons
325   1  64891  AP881027-0141   325   7.509073  Coping with overcrowded prisons
326   1  70458  AP881120-0025   326   7.507719  Coping with overcrowded prisons
327   1   5833  AP880308-0098   327   7.507557  Coping with overcrowded prisons
328   1  30924  AP880609-0221   328   7.505090  Coping with overcrowded prisons
329   1   8401  AP880317-0003   329   7.504440  Coping with overcrowded prisons
330   1  67723  AP881108-0069   330   7.494896  Coping with overcrowded prisons
331   1  49724  AP880825-0030   331   7.492588  Coping with overcrowded prisons
332   1  64924  AP881027-0174   332   7.483559  Coping with overcrowded prisons
333   1  61929  AP881015-0064   333   7.479780  Coping with overcrowded prisons
334   1  76420  AP881215-0139   334   7.471717  Coping with overcrowded prisons
335   1  12570  AP880401-0176   335   7.464639  Coping with overcrowded prisons
336   1  24573  AP880517-0184   336   7.463855  Coping with overcrowded prisons
337   1  39677  AP880714-0080   337   7.462215  Coping with overcrowded prisons
338   1  52425  AP880906-0044   338   7.446335  Coping with overcrowded prisons
339   1  78663  AP881225-0027   339   7.442208  Coping with overcrowded prisons
340   1  21384  AP880505-0169   340   7.439278  Coping with overcrowded prisons
341   1  67732  AP881108-0078   341   7.438719  Coping with overcrowded prisons
342   1  67750  AP881108-0096   342   7.433622  Coping with overcrowded prisons
343   1  68499  AP881110-0223   343   7.429311  Coping with overcrowded prisons
344   1  72796  AP881130-0189   344   7.427429  Coping with overcrowded prisons
345   1  44187  AP880802-0038   345   7.424085  Coping with overcrowded prisons
346   1  30886  AP880609-0183   346   7.423164  Coping with overcrowded prisons
347   1  56203  AP880921-0208   347   7.423164  Coping with overcrowded prisons
348   1  63866  AP881023-0062   348   7.423164  Coping with overcrowded prisons
349   1  67813  AP881108-0159   349   7.423164  Coping with overcrowded prisons
350   1  21619  AP880506-0045   350   7.419827  Coping with overcrowded prisons
351   1  69761  AP881117-0017   351   7.417349  Coping with overcrowded prisons
352   1  38831  AP880711-0093   352   7.416027  Coping with overcrowded prisons
353   1  45981  AP880810-0271   353   7.411664  Coping with overcrowded prisons
354   1  75840  AP881213-0162   354   7.409810  Coping with overcrowded prisons
355   1   5077  AP880303-0253   355   7.404015  Coping with overcrowded prisons
356   1  38359  AP880708-0210   356   7.399057  Coping with overcrowded prisons
357   1  25733  AP880521-0003   357   7.398784  Coping with overcrowded prisons
358   1    667  AP880215-0191   358   7.391144  Coping with overcrowded prisons
359   1  15200  AP880412-0180   359   7.391144  Coping with overcrowded prisons
360   1  77062  AP881218-0043   360   7.391144  Coping with overcrowded prisons
361   1  40174  AP880716-0011   361   7.390437  Coping with overcrowded prisons
362   1  16337  AP880416-0087   362   7.387737  Coping with overcrowded prisons
363   1  41217  AP880720-0253   363   7.383649  Coping with overcrowded prisons
364   1  69937  AP881117-0193   364   7.375238  Coping with overcrowded prisons
365   1  21007  AP880504-0147   365   7.375233  Coping with overcrowded prisons
366   1  23946  AP880514-0176   366   7.364313  Coping with overcrowded prisons
367   1  24696  AP880518-0004   367   7.364313  Coping with overcrowded prisons
368   1  49557  AP880824-0170   368   7.362046  Coping with overcrowded prisons
369   1  16515  AP880417-0088   369   7.360091  Coping with overcrowded prisons
370   1  75041  AP881209-0159   370   7.359400  Coping with overcrowded prisons
371   1  53671  AP880911-0003   371   7.358250  Coping with overcrowded prisons
372   1  78819  AP881226-0124   372   7.349804  Coping with overcrowded prisons
373   1  26779  AP880525-0152   373   7.348791  Coping with overcrowded prisons
374   1  64907  AP881027-0157   374   7.348791  Coping with overcrowded prisons
375   1  75380  AP881212-0015   375   7.343959  Coping with overcrowded prisons
376   1  31163  AP880610-0149   376   7.343629  Coping with overcrowded prisons
377   1  37008  AP880702-0145   377   7.343629  Coping with overcrowded prisons
378   1  63097  AP881020-0094   378   7.339764  Coping with overcrowded prisons
379   1  76019  AP881214-0045   379   7.334650  Coping with overcrowded prisons
380   1  60738  AP881011-0163   380   7.333462  Coping with overcrowded prisons
381   1  26637  AP880525-0010   381   7.332979  Coping with overcrowded prisons
382   1  45507  AP880809-0053   382   7.328854  Coping with overcrowded prisons
383   1  31736  AP880613-0084   383   7.327927  Coping with overcrowded prisons
384   1  78116  AP881222-0158   384   7.327927  Coping with overcrowded prisons
385   1  31090  AP880610-0076   385   7.319924  Coping with overcrowded prisons
386   1  75472  AP881212-0107   386   7.319552  Coping with overcrowded prisons
387   1  17607  AP880421-0132   387   7.319524  Coping with overcrowded prisons
388   1  12333  AP880331-0252   388   7.315349  Coping with overcrowded prisons
389   1  13564  AP880406-0006   389   7.315349  Coping with overcrowded prisons
390   1  47312  AP880816-0005   390   7.315349  Coping with overcrowded prisons
391   1  74415  AP881207-0166   391   7.314757  Coping with overcrowded prisons
392   1  31203  AP880610-0189   392   7.312291  Coping with overcrowded prisons
393   1  75602  AP881212-0237   393   7.312291  Coping with overcrowded prisons
394   1  78619  AP881224-0119   394   7.308931  Coping with overcrowded prisons
395   1  35745  AP880628-0190   395   7.305476  Coping with overcrowded prisons
396   1  41705  AP880722-0117   396   7.305476  Coping with overcrowded prisons
397   1  78556  AP881224-0056   397   7.305476  Coping with overcrowded prisons
398   1  76136  AP881214-0162   398   7.304273  Coping with overcrowded prisons
